,precision,recall,f1-score,support
malicious,0.972139303482587,0.977,0.9745635910224439,1000.0
safe,0.9768844221105528,0.972,0.9744360902255639,1000.0
accuracy,0.9745,0.9745,0.9745,0.9745
macro avg,0.9745118627965699,0.9744999999999999,0.974499840624004,2000.0
weighted avg,0.9745118627965699,0.9745,0.974499840624004,2000.0
