,precision,recall,f1-score,support
malicious,0.9741468459152016,0.942,0.9578037620742247,1000.0
safe,0.9438528557599225,0.975,0.9591736350221348,1000.0
accuracy,0.9585,0.9585,0.9585,0.9585
macro avg,0.9589998508375621,0.9584999999999999,0.9584886985481798,2000.0
weighted avg,0.958999850837562,0.9585,0.9584886985481798,2000.0
